srcIp,dstIp,dstPort,proto,duration,fwdPackets,bwdPackets,fwdBytes,bwdBytes,iatStd,fwdHeaderBytes,bwdHeaderBytes,label,count
192.168.10.15,OTHER,443,6,0,0,0,0,0,0,7,3,1,8691
192.168.10.5,OTHER,80,6,4,0,0,3,0,1,7,3,1,3
192.168.10.9,OTHER,80,6,2,0,0,0,0,3,7,3,1,4181
192.168.10.8,192.168.10.50,OTHER,6,0,0,0,0,0,0,7,3,1,5308
192.168.10.15,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,72377
OTHER,192.168.10.17,OTHER,6,0,0,0,0,0,0,7,3,1,25808
192.168.10.15,OTHER,443,6,19,0,0,1,0,8,7,3,1,1093
192.168.10.8,OTHER,443,6,2,0,0,0,0,2,7,3,1,2061
192.168.10.16,OTHER,80,6,10,0,0,1,0,4,7,3,1,188
192.168.10.19,OTHER,443,6,2,0,0,1,0,1,7,3,1,1789
192.168.10.8,192.168.10.17,OTHER,6,0,0,0,0,0,0,7,3,1,3888
192.168.10.25,OTHER,80,6,0,0,0,0,0,0,7,3,1,4852
192.168.10.51,OTHER,OTHER,17,0,0,0,1,0,0,7,3,1,9
192.168.10.50,172.16.0.1,OTHER,6,2,0,0,1,0,3,7,3,1,302
192.168.10.15,192.168.10.3,53,17,19,0,0,0,0,15,7,3,1,13
192.168.10.50,192.168.10.3,OTHER,6,17,0,0,3,0,4,7,3,1,440
192.168.10.25,OTHER,443,6,0,0,0,1,0,0,7,3,1,34149
192.168.10.8,OTHER,443,6,11,0,0,2,0,3,7,3,1,57
192.168.10.9,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,78120
192.168.10.12,OTHER,443,6,1,0,0,0,0,0,7,3,1,222
192.168.10.15,OTHER,80,6,4,0,0,3,0,2,7,3,1,12
192.168.10.50,172.16.0.1,OTHER,6,16,0,0,4,0,11,7,3,1,1789
192.168.10.8,192.168.10.3,123,17,0,0,0,0,0,0,7,3,1,213
192.168.10.14,OTHER,80,6,2,0,0,1,0,2,7,3,1,106
192.168.10.15,OTHER,443,6,2,0,0,1,0,1,7,3,1,1924
192.168.10.17,OTHER,443,6,18,1,1,1,1,1,7,4,1,16
192.168.10.8,OTHER,80,6,8,0,1,1,0,1,7,3,1,12
192.168.10.5,OTHER,443,6,2,0,0,0,0,1,7,3,1,3895
192.168.10.14,OTHER,443,6,2,0,0,0,0,1,7,3,1,3937
192.168.10.14,OTHER,443,6,0,0,0,0,0,0,7,3,1,8640
192.168.10.19,OTHER,443,6,18,0,0,1,0,4,7,3,1,3567
192.168.10.50,172.16.0.1,OTHER,6,2,0,0,4,0,2,7,3,1,15
192.168.10.8,192.168.10.3,OTHER,6,3,0,0,1,0,2,7,3,1,110
192.168.10.8,OTHER,443,6,0,0,0,1,0,0,7,3,1,3673
192.168.10.50,192.168.10.3,OTHER,6,0,0,0,2,0,0,7,3,1,337
192.168.10.19,OTHER,123,17,0,0,0,0,0,0,7,3,1,5423
192.168.10.16,OTHER,80,6,0,0,0,0,0,0,7,3,1,8338
192.168.10.25,OTHER,443,6,11,0,0,2,0,5,7,3,1,7
192.168.10.25,OTHER,443,6,0,1,0,1,0,0,7,3,1,3
192.168.10.8,192.168.10.9,OTHER,6,0,0,0,0,0,0,7,3,1,5544
192.168.10.3,192.168.10.1,53,17,3,0,0,0,0,5,7,3,1,700
192.168.10.51,OTHER,80,6,2,0,0,0,0,3,7,3,1,2043
192.168.10.5,OTHER,443,6,19,0,0,1,0,7,7,3,1,411
192.168.10.9,OTHER,80,6,11,0,0,2,0,4,7,3,1,7
192.168.10.9,OTHER,443,6,0,0,0,0,0,0,7,3,1,9950
192.168.10.8,OTHER,80,6,0,0,0,0,0,0,7,3,1,11208
192.168.10.9,OTHER,443,6,2,0,0,0,0,2,7,3,1,2145
192.168.10.17,OTHER,443,6,18,0,0,1,0,4,7,3,1,4237
192.168.10.3,192.168.10.1,53,17,6,0,0,0,0,9,7,3,1,1115
192.168.10.19,OTHER,443,6,0,0,0,0,0,0,7,3,1,8846
192.168.10.50,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,17357
192.168.10.15,OTHER,80,6,18,0,0,0,0,4,7,3,1,1633
192.168.10.50,172.16.0.1,OTHER,6,14,0,0,4,0,11,7,3,1,1149
192.168.10.5,OTHER,80,6,0,0,0,0,0,0,7,3,1,8880
192.168.10.25,OTHER,443,6,1,0,0,1,0,2,7,3,1,3
192.168.10.9,OTHER,443,6,0,0,0,1,0,0,7,3,1,3033
192.168.10.8,OTHER,443,6,5,0,0,7,0,0,7,3,1,5
192.168.10.17,OTHER,443,6,18,0,0,2,0,4,7,3,1,969
192.168.10.25,OTHER,80,6,0,0,0,2,0,0,7,3,1,58
192.168.10.17,OTHER,443,6,6,0,0,2,0,3,7,3,1,92
192.168.10.15,OTHER,443,6,18,0,0,1,0,4,7,3,1,1884
192.168.10.17,OTHER,443,6,1,0,0,1,0,0,7,3,1,398
192.168.10.3,192.168.10.1,53,17,2,0,0,0,0,4,7,3,1,328
192.168.10.5,OTHER,443,6,5,0,0,2,0,2,7,3,1,42
192.168.10.8,192.168.10.19,OTHER,6,0,0,0,0,0,0,7,3,1,3866
192.168.10.51,OTHER,80,6,0,0,0,1,0,0,7,3,1,210
192.168.10.50,172.16.0.1,OTHER,6,0,0,0,4,0,0,7,3,1,4237
192.168.10.12,192.168.10.50,OTHER,6,1,0,0,2,0,0,7,3,1,514
192.168.10.9,OTHER,443,6,2,0,0,0,0,1,7,3,1,5413
192.168.10.15,OTHER,443,6,4,0,0,1,0,4,7,3,1,4
192.168.10.5,192.168.10.50,OTHER,6,0,0,0,2,0,0,7,3,1,114
192.168.10.3,192.168.10.1,53,17,12,0,0,0,0,14,7,3,1,990
192.168.10.16,192.168.10.50,OTHER,6,1,0,0,2,0,0,7,3,1,509
192.168.10.14,OTHER,443,6,6,0,0,1,0,5,7,3,1,11
192.168.10.14,OTHER,80,6,1,0,0,0,0,1,7,3,1,473
192.168.10.19,OTHER,443,6,18,0,1,2,0,2,7,3,1,38
192.168.10.5,OTHER,443,6,2,0,0,0,0,2,7,3,1,2250
192.168.10.16,OTHER,443,6,1,0,0,1,0,0,7,3,1,729
192.168.10.5,OTHER,443,6,2,0,0,1,0,1,7,3,1,3112
192.168.10.17,OTHER,443,6,2,0,0,1,0,1,7,3,1,2376
192.168.10.5,OTHER,80,6,2,0,0,1,0,1,7,3,1,99
192.168.10.50,172.16.0.1,OTHER,6,3,0,0,0,0,4,7,3,1,2961
192.168.10.8,192.168.10.15,OTHER,6,0,0,0,0,0,0,7,3,1,8051
192.168.10.15,OTHER,80,6,0,0,0,2,0,0,7,3,1,60
192.168.10.50,OTHER,OTHER,17,0,0,0,3,0,0,7,3,1,129
192.168.10.14,OTHER,80,6,18,0,0,0,0,4,7,3,1,1709
192.168.10.14,OTHER,443,6,2,0,0,0,0,2,7,3,1,2399
192.168.10.8,192.168.10.15,OTHER,17,0,0,0,0,0,0,7,3,1,16
192.168.10.50,192.168.10.3,OTHER,6,7,0,0,2,0,4,7,3,1,10
192.168.10.25,OTHER,OTHER,17,0,0,0,1,0,0,7,3,1,1268
192.168.10.12,OTHER,443,6,10,0,0,1,0,4,7,3,1,1320
192.168.10.14,OTHER,443,6,0,0,0,1,0,0,7,3,1,3244
192.168.10.19,OTHER,80,6,2,0,0,0,0,3,7,3,1,2573
192.168.10.14,OTHER,443,6,7,0,1,2,0,1,7,3,1,4
192.168.10.5,OTHER,443,6,17,1,1,3,1,3,7,4,1,2
192.168.10.51,OTHER,443,6,10,0,0,2,0,4,7,3,1,117
192.168.10.3,192.168.10.1,53,17,14,0,0,0,0,16,7,3,1,1691
192.168.10.5,OTHER,443,6,17,0,0,2,0,4,7,3,1,116
192.168.10.12,OTHER,443,6,0,0,0,0,0,0,7,3,1,15223
192.168.10.17,OTHER,443,6,19,0,0,1,0,4,7,3,1,278
192.168.10.25,OTHER,443,6,1,0,0,0,0,0,7,3,1,840
192.168.10.16,OTHER,123,17,0,0,0,0,0,0,7,3,1,1252
192.168.10.25,192.168.10.3,53,17,0,0,0,0,0,0,7,3,1,17860
192.168.10.19,OTHER,443,6,2,0,0,1,0,2,7,3,1,376
192.168.10.3,192.168.10.1,53,17,1,0,0,0,0,0,7,3,1,1266
192.168.10.8,OTHER,443,6,2,0,0,0,0,1,7,3,1,4026
192.168.10.9,OTHER,443,6,19,0,0,1,0,7,7,3,1,678
192.168.10.3,192.168.10.1,53,17,18,0,0,0,0,15,7,3,1,21
192.168.10.3,192.168.10.1,53,17,7,0,0,0,0,10,7,3,1,1108
192.168.10.8,OTHER,443,6,0,0,0,0,0,0,7,3,1,8751
192.168.10.15,OTHER,443,6,2,0,0,0,0,1,7,3,1,4022
192.168.10.12,OTHER,80,6,2,0,0,0,0,3,7,3,1,3639
192.168.10.12,OTHER,123,17,12,0,0,0,0,14,7,3,1,202
192.168.10.15,OTHER,443,6,17,0,0,0,0,4,7,3,1,70
192.168.10.14,OTHER,80,6,0,0,0,0,0,0,7,3,1,11278
192.168.10.25,OTHER,443,6,2,0,0,2,0,0,7,3,1,57
192.168.10.15,OTHER,443,6,18,0,0,1,0,3,7,3,1,302
192.168.10.8,192.168.10.25,OTHER,6,0,0,0,0,0,0,7,3,1,6150
192.168.10.14,192.168.10.3,53,17,3,0,0,0,0,1,7,3,1,47
192.168.10.8,192.168.10.14,OTHER,6,0,0,0,0,0,0,7,3,1,8050
192.168.10.19,OTHER,80,6,5,0,0,1,0,2,7,3,1,33
192.168.10.5,OTHER,443,6,1,0,0,1,0,0,7,3,1,1774
192.168.10.17,OTHER,80,6,19,0,0,1,0,4,7,3,1,263
192.168.10.9,OTHER,443,6,12,0,0,1,0,2,7,3,1,17
192.168.10.12,OTHER,443,6,11,0,0,1,0,4,7,3,1,404
192.168.10.19,192.168.10.50,OTHER,6,0,0,0,0,0,0,7,3,1,978
192.168.10.12,OTHER,OTHER,17,0,0,0,2,0,0,7,3,1,183
192.168.10.25,OTHER,443,6,11,0,0,1,0,9,7,3,1,5
192.168.10.51,192.168.10.50,OTHER,6,0,0,0,1,0,0,7,3,1,176
192.168.10.3,192.168.10.1,53,17,8,0,0,0,0,12,7,3,1,804
192.168.10.5,OTHER,443,6,7,0,0,0,0,12,7,3,1,45
192.168.10.12,OTHER,OTHER,17,14,0,0,2,0,8,7,3,1,10
192.168.10.15,OTHER,443,6,0,0,0,1,0,0,7,3,1,3142
192.168.10.19,OTHER,123,17,12,0,0,0,0,14,7,3,1,1157
192.168.10.19,OTHER,80,6,4,0,0,1,0,1,7,3,1,20
192.168.10.19,OTHER,80,6,2,0,1,1,0,0,7,3,1,10
192.168.10.12,OTHER,80,6,0,0,0,0,0,0,7,3,1,9630
192.168.10.12,OTHER,443,6,19,0,0,1,0,7,7,3,1,696
192.168.10.16,OTHER,80,6,2,0,0,1,0,2,7,3,1,41
192.168.10.17,OTHER,443,6,2,0,0,0,0,1,7,3,1,1721
192.168.10.8,OTHER,443,6,2,0,0,1,0,1,7,3,1,1759
192.168.10.15,OTHER,80,6,10,0,0,0,0,4,7,3,1,258
172.16.0.1,192.168.10.51,OTHER,6,0,0,0,0,0,0,7,3,1,3284
192.168.10.8,OTHER,80,6,18,0,0,0,0,4,7,3,1,1506
192.168.10.8,OTHER,80,6,4,0,0,1,0,3,7,3,1,100
192.168.10.16,OTHER,80,6,9,1,1,2,1,1,7,4,1,1
192.168.10.17,OTHER,443,6,12,0,0,6,0,2,7,3,1,6
192.168.10.17,OTHER,443,6,0,0,0,1,0,0,7,3,1,1557
192.168.10.17,192.168.10.50,OTHER,6,1,0,0,2,0,0,7,3,1,500
192.168.10.3,192.168.10.1,53,17,17,0,0,0,0,18,7,3,1,1452
192.168.10.8,OTHER,80,6,4,0,0,1,0,2,7,3,1,49
192.168.10.51,172.16.0.1,443,6,1,0,0,1,0,0,7,3,1,1455
192.168.10.5,OTHER,443,6,2,0,0,2,0,1,7,3,1,509
192.168.10.50,172.16.0.1,OTHER,6,0,0,0,0,0,0,7,3,1,7585
192.168.10.8,OTHER,443,6,16,0,0,2,0,4,7,3,1,23
192.168.10.14,OTHER,443,6,10,0,0,2,0,8,7,3,1,81
192.168.10.17,OTHER,443,6,18,0,0,1,0,2,7,3,1,55
192.168.10.12,OTHER,443,6,0,0,0,1,0,0,7,3,1,2876
192.168.10.51,192.168.10.3,OTHER,17,0,0,0,0,0,0,7,3,1,712
192.168.10.19,OTHER,443,6,4,0,0,1,0,2,7,3,1,384
192.168.10.9,OTHER,443,6,19,0,0,2,0,7,7,3,1,117
192.168.10.8,192.168.10.3,OTHER,6,6,0,0,3,0,4,7,3,1,33
192.168.10.14,OTHER,80,6,18,0,0,1,0,4,7,3,1,1035
192.168.10.25,192.168.10.3,53,17,1,0,0,0,0,1,7,3,1,108
192.168.10.25,OTHER,443,6,7,0,0,1,0,6,7,3,1,140
192.168.10.12,192.168.10.3,OTHER,6,0,0,0,1,0,0,7,3,1,19
192.168.10.9,192.168.10.50,OTHER,6,0,0,0,5,0,0,7,3,1,224
192.168.10.5,OTHER,443,6,15,0,0,3,0,7,7,3,1,13
192.168.10.12,OTHER,80,6,6,0,0,0,0,4,7,3,1,96
192.168.10.51,OTHER,443,6,1,0,0,1,0,0,7,3,1,2200
192.168.10.14,OTHER,443,6,11,0,0,1,0,4,7,3,1,395
192.168.10.16,OTHER,443,6,18,0,0,1,0,4,7,3,1,1462
192.168.10.17,OTHER,443,6,10,0,0,1,0,4,7,3,1,1388
192.168.10.50,172.16.0.1,OTHER,6,14,0,0,4,0,9,7,3,1,849
192.168.10.51,172.16.0.1,443,6,0,0,0,0,0,0,7,3,1,2369
192.168.10.14,OTHER,443,6,1,0,0,1,0,0,7,3,1,470
192.168.10.14,OTHER,80,6,19,0,0,3,0,4,7,3,1,30
192.168.10.50,172.16.0.1,OTHER,6,15,0,0,4,0,10,7,3,1,875
192.168.10.25,OTHER,443,6,1,0,0,1,0,0,7,3,1,1121
192.168.10.19,OTHER,443,6,0,0,0,1,0,0,7,3,1,956
192.168.10.8,OTHER,80,6,15,0,0,1,0,11,7,3,1,5
192.168.10.19,OTHER,443,6,11,0,0,1,0,4,7,3,1,255
192.168.10.8,OTHER,443,6,19,0,0,1,0,6,7,3,1,323
192.168.10.50,172.16.0.1,OTHER,6,3,0,0,4,0,2,7,3,1,429
192.168.10.50,192.168.10.3,123,17,0,0,0,0,0,0,7,3,1,230
192.168.10.17,OTHER,443,6,18,0,1,4,0,2,7,4,1,2
192.168.10.19,OTHER,443,6,3,0,0,2,0,2,7,3,1,222
192.168.10.3,192.168.10.19,OTHER,6,0,0,0,0,0,0,7,3,1,68
192.168.10.25,192.168.10.50,OTHER,6,0,0,0,2,0,0,7,3,1,521
192.168.10.19,OTHER,123,17,11,0,0,0,0,14,7,3,1,609
192.168.10.16,OTHER,443,6,1,0,0,0,0,0,7,3,1,360
192.168.10.8,192.168.10.16,OTHER,6,6,0,0,0,0,4,7,3,1,36
192.168.10.17,OTHER,443,6,3,0,0,2,0,2,7,3,1,221
192.168.10.3,192.168.10.1,53,17,16,0,0,0,0,15,7,3,1,107
192.168.10.9,OTHER,443,6,2,0,0,1,0,1,7,3,1,1710
192.168.10.25,OTHER,80,6,9,0,0,0,0,7,7,3,1,5
192.168.10.14,OTHER,443,6,10,0,0,1,0,4,7,3,1,1449
192.168.10.8,OTHER,443,6,10,0,0,0,0,7,7,3,1,8
192.168.10.16,OTHER,443,6,0,0,0,1,0,0,7,3,1,2994
192.168.10.5,OTHER,443,6,18,0,0,1,0,4,7,3,1,1526
192.168.10.50,172.16.0.1,OTHER,6,1,0,0,0,0,1,7,3,1,2363
192.168.10.3,192.168.10.1,53,17,15,0,0,0,0,17,7,3,1,1359
192.168.10.14,OTHER,443,6,13,1,1,2,0,3,7,4,1,2
192.168.10.3,192.168.10.1,53,17,2,0,0,0,0,3,7,3,1,1136
192.168.10.5,OTHER,443,6,17,0,0,1,0,9,7,3,1,5
192.168.10.15,OTHER,OTHER,6,1,0,0,1,0,0,7,3,1,168
192.168.10.8,OTHER,443,6,18,0,0,1,0,4,7,3,1,1506
192.168.10.16,OTHER,443,6,19,0,0,2,0,3,7,3,1,54
192.168.10.3,192.168.10.1,53,17,10,0,0,0,0,13,7,3,1,1315
192.168.10.15,OTHER,80,6,2,0,0,0,0,3,7,3,1,4678
192.168.10.12,OTHER,443,6,19,0,0,1,0,8,7,3,1,1126
192.168.10.3,192.168.10.1,53,17,8,0,0,0,0,11,7,3,1,1042
192.168.10.8,OTHER,443,6,18,1,1,2,1,1,7,4,1,16
192.168.10.17,192.168.10.50,OTHER,6,0,0,0,5,0,0,7,3,1,213
192.168.10.25,192.168.10.3,OTHER,6,19,0,0,2,0,10,7,3,1,265
192.168.10.3,192.168.10.5,OTHER,6,0,0,0,0,0,0,7,3,1,353
192.168.10.50,172.16.0.1,OTHER,6,12,0,0,4,0,9,7,3,1,537
192.168.10.51,OTHER,443,6,2,0,0,0,0,1,7,3,1,915
192.168.10.50,192.168.10.8,OTHER,6,0,0,0,0,0,0,7,3,1,1289
192.168.10.17,OTHER,443,6,18,0,0,4,0,3,7,3,1,41
192.168.10.15,192.168.10.3,OTHER,6,7,0,0,3,0,5,7,3,1,8
192.168.10.3,192.168.10.1,53,17,7,0,0,0,0,11,7,3,1,622
192.168.10.9,OTHER,443,6,18,0,0,1,0,3,7,3,1,280
192.168.10.51,OTHER,80,6,5,0,0,0,0,0,7,3,1,16
192.168.10.19,OTHER,443,6,1,0,0,1,0,0,7,3,1,298
192.168.10.5,OTHER,443,6,10,0,0,2,0,6,7,3,1,32
192.168.10.5,OTHER,443,6,2,1,2,5,1,0,7,4,1,1
192.168.10.16,OTHER,443,6,10,0,0,1,0,4,7,3,1,1139
192.168.10.50,192.168.10.25,OTHER,17,0,0,0,0,0,0,7,3,1,809
192.168.10.16,OTHER,80,6,1,0,0,0,0,1,7,3,1,403
192.168.10.15,OTHER,443,6,3,0,0,2,0,1,7,3,1,59
192.168.10.5,OTHER,443,6,2,0,0,1,0,2,7,3,1,1014
192.168.10.12,OTHER,443,6,6,0,0,1,0,3,7,3,1,181
192.168.10.14,OTHER,443,6,19,0,0,1,0,8,7,3,1,1226
192.168.10.8,OTHER,443,6,1,0,0,0,0,0,7,3,1,348
192.168.10.25,OTHER,80,6,6,0,0,0,0,0,7,3,1,76
192.168.10.15,OTHER,443,6,18,0,0,5,0,6,7,3,1,2
192.168.10.17,OTHER,443,6,18,0,0,1,0,3,7,3,1,958
192.168.10.9,192.168.10.50,OTHER,6,0,0,0,0,0,0,7,3,1,1165
192.168.10.12,OTHER,80,6,14,0,0,0,0,4,7,3,1,58
192.168.10.8,OTHER,443,6,2,0,0,1,0,0,7,3,1,50
192.168.10.51,OTHER,443,6,19,0,0,2,0,4,7,3,1,198
192.168.10.17,OTHER,443,6,0,0,0,0,0,0,7,3,1,11753
192.168.10.51,OTHER,443,6,2,0,0,0,0,0,7,3,1,21
192.168.10.5,192.168.10.50,OTHER,6,1,0,0,2,0,0,7,3,1,544
192.168.10.16,OTHER,443,6,3,0,0,1,0,2,7,3,1,378
192.168.10.12,OTHER,443,6,18,0,0,1,0,4,7,3,1,1725
192.168.10.5,OTHER,443,17,0,0,0,1,0,0,7,3,1,159
192.168.10.8,OTHER,80,6,2,0,0,2,0,2,7,3,1,3
192.168.10.5,OTHER,80,6,0,0,0,2,0,0,7,3,1,114
192.168.10.8,OTHER,443,6,11,0,0,0,0,10,7,3,1,430
192.168.10.17,OTHER,80,6,3,0,1,1,0,1,7,3,1,4
192.168.10.16,OTHER,443,6,19,0,0,4,0,3,7,3,1,15
192.168.10.14,OTHER,443,6,18,0,0,3,0,4,7,3,1,74
192.168.10.3,192.168.10.1,53,17,5,0,0,0,0,7,7,3,1,1103
192.168.10.5,OTHER,443,6,0,0,0,1,0,0,7,3,1,3432
192.168.10.5,OTHER,443,6,3,0,0,1,0,3,7,3,1,828
192.168.10.8,192.168.10.51,OTHER,6,0,0,0,0,0,0,7,3,1,3740
192.168.10.3,192.168.10.8,OTHER,6,0,0,0,0,0,0,7,3,1,685
192.168.10.50,192.168.10.16,OTHER,6,0,0,0,0,0,0,7,3,1,1290
192.168.10.12,OTHER,443,6,13,0,0,2,0,3,7,3,1,14
192.168.10.17,OTHER,443,6,3,0,0,1,0,2,7,3,1,794
192.168.10.16,192.168.10.50,OTHER,6,0,0,0,0,0,0,7,3,1,1294
192.168.10.12,OTHER,443,6,2,0,0,0,0,1,7,3,1,4113
192.168.10.25,OTHER,443,6,0,0,1,1,0,0,7,3,1,463
192.168.10.14,OTHER,80,6,2,0,0,0,0,2,7,3,1,575
192.168.10.12,OTHER,443,6,3,0,0,2,0,2,7,3,1,376
192.168.10.16,OTHER,443,6,12,0,0,1,0,3,7,3,1,33
192.168.10.5,192.168.10.3,123,17,0,0,0,0,0,0,7,3,1,196
192.168.10.9,OTHER,80,6,2,0,0,1,0,2,7,3,1,114
192.168.10.51,OTHER,443,6,16,0,0,0,0,6,7,3,1,5
192.168.10.9,OTHER,80,6,19,0,0,1,0,4,7,3,1,380
192.168.10.14,OTHER,80,6,19,0,0,2,0,4,7,3,1,179
192.168.10.16,OTHER,80,6,18,0,0,0,0,4,7,3,1,1582
192.168.10.14,192.168.10.50,OTHER,6,1,0,0,2,0,0,7,3,1,530
192.168.10.17,OTHER,123,17,12,0,0,0,0,8,5,1,1,2
192.168.10.3,192.168.10.1,53,17,4,0,0,0,0,5,7,3,1,803
192.168.10.5,OTHER,443,6,0,0,0,2,0,0,7,3,1,379
192.168.10.17,OTHER,443,6,10,0,0,2,0,3,7,3,1,142
192.168.10.16,OTHER,443,6,0,0,0,3,0,0,7,3,1,91
192.168.10.9,OTHER,443,6,14,0,0,2,0,4,7,3,1,26
192.168.10.14,OTHER,80,6,10,0,0,1,0,4,7,3,1,301
192.168.10.25,OTHER,443,6,3,0,0,3,0,1,7,3,1,26
192.168.10.51,OTHER,80,6,19,0,0,3,0,3,7,3,1,15
192.168.10.25,OTHER,123,17,11,0,0,0,0,14,7,3,1,1001
192.168.10.17,OTHER,80,6,3,0,0,2,0,3,7,3,1,28
192.168.10.15,OTHER,443,6,19,0,0,1,0,4,7,3,1,188
192.168.10.25,192.168.10.50,OTHER,6,0,0,0,1,0,0,7,3,1,159
192.168.10.8,OTHER,443,6,15,0,0,1,0,4,7,3,1,49
192.168.10.9,OTHER,443,6,2,0,0,2,0,1,7,3,1,119
192.168.10.25,OTHER,80,6,0,0,0,1,0,0,7,3,1,2197
192.168.10.12,OTHER,443,6,18,0,0,4,0,4,7,3,1,34
192.168.10.17,OTHER,443,6,4,0,0,2,0,2,7,3,1,131
192.168.10.3,192.168.10.1,53,17,6,0,0,0,0,8,7,3,1,669
192.168.10.14,OTHER,443,6,12,0,0,2,0,3,7,3,1,43
192.168.10.51,OTHER,80,6,18,0,0,0,0,4,7,3,1,754
192.168.10.5,OTHER,443,6,5,0,0,1,0,5,7,3,1,53
192.168.10.51,OTHER,443,6,0,0,0,1,0,0,7,3,1,2777
192.168.10.50,172.16.0.1,OTHER,6,3,0,0,1,0,3,7,3,1,446
192.168.10.19,OTHER,80,6,10,0,0,1,0,4,7,3,1,155
192.168.10.5,OTHER,443,6,10,0,0,1,0,4,7,3,1,1326
192.168.10.15,OTHER,443,6,10,0,0,0,0,10,7,3,1,105
192.168.10.8,OTHER,443,6,0,0,0,2,0,0,7,3,1,441
192.168.10.50,172.16.0.1,OTHER,6,1,0,0,1,0,0,7,3,1,100
192.168.10.17,OTHER,80,6,2,0,0,0,0,3,7,3,1,2022
192.168.10.15,OTHER,443,6,4,0,0,1,0,2,7,3,1,375
192.168.10.19,OTHER,OTHER,17,0,0,0,2,0,0,7,3,1,190
192.168.10.8,OTHER,443,6,19,0,0,1,0,8,7,3,1,1125
192.168.10.8,OTHER,443,6,19,0,0,1,0,5,7,3,1,131
192.168.10.14,OTHER,80,6,2,0,0,0,0,3,7,3,1,4602
192.168.10.5,OTHER,443,6,11,0,0,0,0,10,7,3,1,380
192.168.10.9,OTHER,443,6,2,0,0,1,0,2,7,3,1,321
192.168.10.9,OTHER,443,6,10,0,0,1,0,4,7,3,1,1428
192.168.10.17,OTHER,80,6,17,0,0,0,0,4,7,3,1,38
192.168.10.5,192.168.10.3,OTHER,6,0,0,0,0,0,0,7,3,1,525
192.168.10.5,192.168.10.3,OTHER,6,0,0,0,2,0,0,7,3,1,137
